,submission_id,student_id,exercise_id,state,approval_date,average_answer_time_in_hours,name_x,position,min_task_time_in_min,max_task_time_in_min,name_y,start_date,target_completion_date,progress_percent,test_variable
0,343141.0,40243.0,8433.0,approved,2020-04-19 00:00:00+00:00,7.54,Exercise 11,11.0,60.0,180.0,Student 355,2020-02-29 00:00:00+00:00,2021-01-05 00:00:00+00:00,22.0,a
1,397957.0,42906.0,8433.0,approved,2020-09-02 00:00:00+00:00,7.44,Exercise 11,11.0,60.0,180.0,Student 205,2020-05-26 00:00:00+00:00,2021-02-01 00:00:00+00:00,22.0,b
2,398759.0,43515.0,8434.0,approved,2020-09-04 00:00:00+00:00,18.42,Exercise 21,21.0,60.0,180.0,Student 122,2020-06-12 00:00:00+00:00,2021-01-14 00:00:00+00:00,45.0,b
3,381763.0,43515.0,8433.0,approved,2020-07-26 00:00:00+00:00,3.52,Exercise 11,11.0,60.0,180.0,Student 122,2020-06-12 00:00:00+00:00,2021-01-14 00:00:00+00:00,45.0,b
4,395175.0,43660.0,8434.0,approved,2020-08-29 00:00:00+00:00,15.705,Exercise 21,21.0,60.0,180.0,Student 207,2020-06-17 00:00:00+00:00,2021-01-27 00:00:00+00:00,49.0,b
5,386337.0,43660.0,8433.0,approved,2020-08-06 00:00:00+00:00,15.620000000000001,Exercise 11,11.0,60.0,180.0,Student 207,2020-06-17 00:00:00+00:00,2021-01-27 00:00:00+00:00,49.0,b
6,402200.0,43716.0,8434.0,approved,2020-09-11 00:00:00+00:00,8.94,Exercise 21,21.0,60.0,180.0,Student 124,2020-06-19 00:00:00+00:00,2021-01-21 00:00:00+00:00,43.0,b
7,385005.0,43716.0,8433.0,approved,2020-08-05 00:00:00+00:00,12.625,Exercise 11,11.0,60.0,180.0,Student 124,2020-06-19 00:00:00+00:00,2021-01-21 00:00:00+00:00,43.0,b
8,413217.0,44756.0,8435.0,almost_there,,11.040000000000001,Exercise 31,31.0,60.0,180.0,Student 206,2020-07-18 00:00:00+00:00,2021-02-22 00:00:00+00:00,58.0,b
9,398713.0,44948.0,8433.0,approved,2020-09-04 00:00:00+00:00,19.32,Exercise 11,11.0,60.0,180.0,Student 350,2020-07-24 00:00:00+00:00,2021-02-26 00:00:00+00:00,22.0,a
