,exercise_id,name,position,min_task_time_in_min,max_task_time_in_min
0,8306.0,Exercise 1,1.0,240.0,360.0
1,8307.0,Exercise 2,2.0,240.0,360.0
2,8308.0,Exercise 3,3.0,60.0,180.0
3,8309.0,Exercise 4,4.0,60.0,180.0
4,8310.0,Exercise 5,5.0,60.0,180.0
5,8311.0,Exercise 6,6.0,60.0,180.0
6,8312.0,Exercise 7,7.0,240.0,360.0
7,8313.0,Exercise 8,8.0,60.0,180.0
8,8314.0,Exercise 9,9.0,240.0,360.0
9,8315.0,Exercise 10,10.0,60.0,180.0
10,8433.0,Exercise 11,11.0,60.0,180.0
11,8316.0,Exercise 12,12.0,0.0,0.0
12,8317.0,Exercise 13,13.0,60.0,180.0
13,8318.0,Exercise 14,14.0,420.0,540.0
14,8319.0,Exercise 15,15.0,240.0,360.0
15,8320.0,Exercise 16,16.0,240.0,360.0
16,8321.0,Exercise 17,17.0,240.0,360.0
17,8322.0,Exercise 18,18.0,240.0,360.0
18,8323.0,Exercise 19,19.0,60.0,180.0
19,8324.0,Exercise 20,20.0,240.0,360.0
20,8434.0,Exercise 21,21.0,60.0,180.0
21,8325.0,Exercise 22,22.0,60.0,180.0
22,8326.0,Exercise 23,23.0,240.0,360.0
23,8327.0,Exercise 24,24.0,240.0,360.0
24,8328.0,Exercise 25,25.0,240.0,360.0
25,8329.0,Exercise 26,26.0,60.0,180.0
26,8330.0,Exercise 27,27.0,240.0,360.0
27,8331.0,Exercise 28,28.0,240.0,360.0
28,8332.0,Exercise 29,29.0,240.0,360.0
29,8333.0,Exercise 30,30.0,420.0,540.0
30,8435.0,Exercise 31,31.0,60.0,180.0
31,8334.0,Exercise 32,32.0,0.0,0.0
32,8335.0,Exercise 33,33.0,60.0,180.0
33,8336.0,Exercise 34,34.0,60.0,180.0
34,8337.0,Exercise 35,35.0,60.0,180.0
35,8338.0,Exercise 36,36.0,60.0,180.0
36,8339.0,Exercise 37,37.0,420.0,540.0
37,8340.0,Exercise 38,38.0,420.0,540.0
38,8341.0,Exercise 39,39.0,0.0,0.0
39,8342.0,Exercise 40,40.0,240.0,360.0
40,8343.0,Exercise 41,41.0,240.0,360.0
41,8436.0,Exercise 42,42.0,60.0,180.0
42,8344.0,Exercise 43,43.0,240.0,360.0
43,8345.0,Exercise 44,44.0,60.0,180.0
44,8346.0,Exercise 45,45.0,60.0,180.0
45,8347.0,Exercise 46,46.0,240.0,360.0
46,8348.0,Exercise 47,47.0,60.0,180.0
47,8349.0,Exercise 48,48.0,240.0,360.0
48,8350.0,Exercise 49,49.0,240.0,360.0
49,8360.0,Exercise 50,50.0,240.0,360.0
50,8351.0,Exercise 51,51.0,240.0,360.0
51,8352.0,Exercise 52,52.0,240.0,360.0
52,8437.0,Exercise 53,53.0,60.0,180.0
53,8353.0,Exercise 54,54.0,240.0,360.0
54,8354.0,Exercise 55,55.0,240.0,360.0
55,8355.0,Exercise 56,56.0,60.0,180.0
56,8356.0,Exercise 57,57.0,600.0,666.0
57,8357.0,Exercise 58,58.0,60.0,180.0
58,8358.0,Exercise 59,59.0,240.0,360.0
59,8438.0,Exercise 60,60.0,60.0,180.0
